n,original,l2,l1,noisy
537,0.0316089,0.0614006,0.0149852,0.0227107
538,0.0315756,0.0612438,0.0157598,0.00782423
539,0.0315486,0.061022,0.0166633,-0.0155757
540,0.0315272,0.0607432,0.0176758,0.0310216
541,0.0315112,0.0604176,0.0187732,0.0149436
542,0.0315001,0.0600572,0.0199281,0.00763462
543,0.0314937,0.0596753,0.0211099,0.0473992
544,0.0314915,0.059286,0.0222858,0.0278973
545,0.0314933,0.0589037,0.0234216,-0.00913046
546,0.0314988,0.0585424,0.0244828,-0.00695956
547,0.0315077,0.0582154,0.0254354,0.0438028
548,0.0315197,0.0579346,0.0262474,-0.00478972
549,0.0315347,0.0577104,0.0268896,0.0609889
550,0.0315523,0.0575508,0.0273373,0.0328088
551,0.0315724,0.0574615,0.0275709,0.0498604
552,0.0315948,0.0574457,0.0275775,0.0707146
553,0.0316193,0.0575038,0.0273515,0.0286455
554,0.0316458,0.0576335,0.0268959,-0.0641556
555,0.031674,0.0578299,0.0262223,-0.0140578
556,0.0317038,0.0580858,0.0253521,0.0181193
557,0.0317352,0.0583916,0.0243159,0.0132971
558,0.0317679,0.0587362,0.0231541,0.0241873
559,0.0318019,0.0591071,0.0219161,0.0244414
560,0.0318371,0.0594909,0.0206596,0.011363
561,0.0318733,0.0598739,0.0194498,0.0557149
562,0.0319104,0.0602423,0.0183582,0.0109081
563,0.0319485,0.0605834,0.0174606,0.0706817
